sample_count,real_count,fake_count,predicted_fake_count,accuracy,precision,recall,specificity,f1,auc,threshold,tn,fp,fn,tp,distance_to_0_5
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28699999999999976,0,50,0,50,0.21300000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28599999999999975,0,50,0,50,0.21400000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28499999999999975,0,50,0,50,0.21500000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28399999999999975,0,50,0,50,0.21600000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28299999999999975,0,50,0,50,0.21700000000000025
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2819999999999998,0,50,0,50,0.2180000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2809999999999998,0,50,0,50,0.2190000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2799999999999998,0,50,0,50,0.2200000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2789999999999998,0,50,0,50,0.2210000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2779999999999998,0,50,0,50,0.2220000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2769999999999998,0,50,0,50,0.2230000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2759999999999998,0,50,0,50,0.2240000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2749999999999998,0,50,0,50,0.2250000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2739999999999998,0,50,0,50,0.2260000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2729999999999998,0,50,0,50,0.2270000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2719999999999998,0,50,0,50,0.2280000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2709999999999998,0,50,0,50,0.2290000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2699999999999998,0,50,0,50,0.2300000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2689999999999998,0,50,0,50,0.2310000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2679999999999998,0,50,0,50,0.2320000000000002
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.2669999999999998,0,50,0,50,0.2330000000000002
